year,ccode,Physical_infrastructure,ICT,Business,Border_Transportation,Export
2004,ARE,0.7573765,0.740468,0.777916,0.7671384,93968596324
2004,ARG,0.402363,0.4074503,0.198051,0.7007525,39266996606
2004,AUS,0.7952101,0.7849535,0.8399605,0.7560096,1.05E+11
2004,AUT,0.789591,0.6978869,0.7532752,0.9313446,1.41E+11
2004,BEL,0.8909646,0.6509685,0.6720233,0.9313446,2.62E+11
2004,BRA,0.3746357,0.6231917,0.4204975,0.7050857,1.11E+11
2004,CAN,0.8257643,0.778452,0.6830429,0.8181528,3.83E+11
2004,CHE,0.8806888,0.7892565,0.8593503,0.9313446,2.07E+11
2004,CHL,0.6509646,0.706396,0.701822,0.7533435,39320388861
2004,CHN,0.4706309,0.5133097,0.4581329,0.6811121,6.07E+11
2004,CZE,0.5478606,0.5344259,0.3221992,0.8080838,68363661125
2004,DNK,0.9474806,0.9216833,1,0.9933867,1.10E+11
2004,DZA,0.3105886,0.2662299,0.3811695,0.6610363,34178449805
2004,ESP,0.6727782,0.5364162,0.6094961,0.8179168,2.72E+11
2004,FIN,0.8881529,0.897496,0.9700341,0.9345835,76257431519
2004,FRA,0.962472,0.6924582,0.6427107,0.6060898,5.61E+11
2004,GBR,0.7960994,0.7544994,0.8597339,0.8703622,5.81E+11
2004,GRC,0.5669689,0.3265261,0.4024964,0.7881626,49899010821
2004,HKG,1,0.8423292,0.836723,0.7793955,2.84E+11
2004,HUN,0.3855016,0.4804067,0.4155305,0.803399,62016702357
2004,IDN,0.4524171,0.3761972,0.4023927,0.6459307,82744351781
2004,IND,0.4912732,0.6406662,0.3138958,0.373001,1.27E+11
2004,IRL,0.4775326,0.725946,0.6861249,0.9441894,1.56E+11
2004,ISR,0.634591,0.8636463,0.6723263,0.8991662,52999304623
2004,ITA,0.4715013,0.3790082,0.4347981,0.829436,4.34E+11
2004,JPN,0.9277555,0.867834,0.6901431,0.9169425,6.26E+11
2004,KOR,0.7280669,0.8288981,0.3983762,0.824766,2.92E+11
2004,KWT,0.5203984,0.4646514,0.4246733,0.5852911,33831014591
2004,LUX,0.6946096,0.5473393,0.8292923,0.9423724,50400230064
2004,MEX,0.4536609,0.4493848,0.3552706,0.8251266,2.02E+11
2004,MYS,0.7930714,0.7012746,0.5535929,0.7626895,1.44E+11
2004,NGA,0.2962408,0.2702318,0.1588298,0.3327874,27497518511
2004,NLD,0.9146726,0.6896421,0.8589693,0.9489856,4.13E+11
2004,NOR,0.7072308,0.7750662,0.9457098,0.9603846,1.09E+11
2004,PHL,0.2645801,0.3967315,0.1068074,0.7098819,39736335583
2004,POL,0.3599595,0.3391433,0.2234017,0.8121704,87337150304
2004,PRT,0.6469539,0.506811,0.6478486,0.7749466,52396449477
2004,RUS,0.4304007,0.3289819,0.1915129,0.4833012,2.03E+11
2004,SGP,0.9827157,0.9084256,0.9573988,0.9812648,2.46E+11
2004,SVK,0.4299282,0.5425677,0.3287835,0.7059394,39658444438
2004,SWE,0.8488345,0.9495094,0.9036916,0.9782618,1.64E+11
2004,THA,0.6102083,0.6213089,0.3907046,0.5695783,1.14E+11
2004,TUR,0.3953081,0.5263269,0.280469,0.5823224,96593431915
2004,UKR,0.4259992,0.2363713,0.1670854,0.5996206,39456100771
2004,VEN,0.2992733,0.3188168,0.1371586,0.4717908,40705555516
2004,ZAF,0.6833383,0.6168431,0.5408921,0.5847122,58215309784
2005,ARE,0.7541196,0.7183446,0.7094234,0.7954556,1.22E+11
2005,ARG,0.4139674,0.4165604,0.2255583,0.7007525,46198180131
2005,AUS,0.7541438,0.7652642,0.8352681,0.8486388,1.27E+11
2005,AUT,0.7746001,0.727906,0.7785798,0.9313446,1.54E+11
2005,BEL,0.8579208,0.6336075,0.6112829,0.9313446,2.87E+11
2005,BRA,0.3092206,0.5680819,0.3213046,0.7050857,1.36E+11
2005,CAN,0.8311851,0.7849916,0.6940992,0.9726417,4.32E+11
2005,CHE,0.87691,0.7583015,0.8498995,0.9313446,2.25E+11
2005,CHL,0.654679,0.6883859,0.6906663,0.7533435,49140735174
2005,CHN,0.466308,0.4933018,0.4303529,0.737013,7.73E+11
2005,CZE,0.5873327,0.5960088,0.4056424,0.8080838,84772746088
2005,DNK,0.9712664,0.9060313,0.9810362,0.9933867,1.25E+11
2005,DZA,0.2821936,0.2643114,0.3321249,0.6610363,48714917293
2005,ESP,0.7132053,0.5730985,0.5803032,0.8179168,2.88E+11
2005,FIN,0.8762414,0.9021809,0.9487545,0.9345835,82514287315
2005,FRA,0.9662289,0.730482,0.7022964,0.9097415,5.94E+11
2005,GBR,0.7884226,0.7609972,0.8318381,0.9171785,6.41E+11
2005,GRC,0.5929258,0.3398874,0.4478938,0.7881626,52827781598
2005,HKG,0.9608522,0.7913611,0.7321264,0.9675857,3.22E+11
2005,HUN,0.4515091,0.4990516,0.4373085,0.803399,70774176093
2005,IDN,0.3511702,0.3832515,0.3126224,0.6459307,97387627569
2005,IND,0.459278,0.6327774,0.3279134,0.4151369,1.61E+11
2005,IRL,0.5174262,0.7696037,0.7603356,0.9441894,1.69E+11
2005,ISR,0.6550143,0.849583,0.5973741,0.8991662,58115070080
2005,ITA,0.4863025,0.3836366,0.4625143,0.829436,4.57E+11
2005,JPN,0.9183726,0.867454,0.7046256,0.9169425,6.68E+11
2005,KOR,0.7623503,0.8652949,0.5130445,0.824766,3.30E+11
2005,KWT,0.5219368,0.4664388,0.4486815,0.6543178,51691780822
2005,LUX,0.6879586,0.4653881,0.870528,0.9423724,57949162558
2005,MEX,0.4428486,0.4305162,0.3233821,0.8251266,2.30E+11
2005,MYS,0.8461951,0.7853188,0.6628905,0.7626895,1.62E+11
2005,NGA,0.3487504,0.2284596,0.2293525,0.514504,36950462119
2005,NLD,0.9171487,0.693675,0.8393574,0.9489856,4.50E+11
2005,NOR,0.6941369,0.7719455,0.911982,0.9603846,1.35E+11
2005,PHL,0.2795074,0.3988707,0.1054681,0.7098819,44289299042
2005,POL,0.4365809,0.3921264,0.2960309,0.8121704,1.06E+11
2005,PRT,0.692505,0.5294802,0.6991698,0.7893487,53424570458
2005,RUS,0.4350498,0.3084369,0.184907,0.4833012,2.69E+11
2005,SGP,1,0.9175726,1,0.9812648,2.88E+11
2005,SVK,0.4194454,0.5404026,0.3558084,0.7059394,45411896334
2005,SWE,0.7965475,0.8712805,0.8221546,0.9782618,1.77E+11
2005,THA,0.6378675,0.5928355,0.4629415,0.5695783,1.29E+11
2005,TUR,0.4168691,0.5298183,0.3224704,0.5823224,1.11E+11
2005,UKR,0.3942899,0.2562227,0.2451787,0.5996206,42593471772
2005,VEN,0.2679011,0.3847947,0.1103728,0.4425516,57708689556
2005,ZAF,0.6658338,0.607985,0.4469436,0.5847122,68171979378
2006,ARE,0.7528075,0.7701166,0.7180088,0.843313,1.52E+11
2006,ARG,0.3606375,0.4531834,0.2019272,0.6837535,53550250227
2006,AUS,0.7512649,0.7842148,0.8393549,0.8380859,1.49E+11
2006,AUT,0.7690507,0.7912977,0.7995936,0.9294735,1.71E+11
2006,BEL,0.8894668,0.6694436,0.6692755,0.926182,3.14E+11
2006,BRA,0.3142665,0.655493,0.3185524,0.6947399,1.59E+11
2006,CAN,0.823557,0.8343026,0.7170427,0.9721985,4.67E+11
2006,CHE,0.9176696,0.889819,0.9032854,0.926182,2.50E+11
2006,CHL,0.6461089,0.7710696,0.7232879,0.7371964,67482975919
2006,CHN,0.4607763,0.5087526,0.3402953,0.7246518,9.92E+11
2006,CZE,0.5293695,0.6202941,0.4183892,0.7928237,1.01E+11
2006,DNK,0.9260877,0.9168664,1,0.99733,1.44E+11
2006,DZA,0.2976117,0.2917591,0.3876065,0.6495711,57121819162
2006,ESP,0.7694048,0.6012338,0.5849239,0.7987656,3.18E+11
2006,FIN,0.8678749,0.921528,0.9847685,0.9294735,93509466784
2006,FRA,0.9633086,0.751124,0.7037099,0.9042289,6.48E+11
2006,GBR,0.8292056,0.8441036,0.819128,0.9158367,7.43E+11
2006,GRC,0.6001096,0.4156375,0.4420838,0.77663,57920808886
2006,HKG,0.9805303,0.8154449,0.8303814,0.9703521,3.58E+11
2006,HUN,0.4453391,0.569628,0.4390356,0.7880629,85375664243
2006,IDN,0.2825257,0.4177129,0.2752288,0.7660207,1.13E+11
2006,IND,0.5295095,0.7653536,0.4328414,0.652128,2.00E+11
2006,IRL,0.544621,0.7403193,0.6827917,0.9432852,1.84E+11
2006,ISR,0.692728,0.913904,0.6584411,0.8975326,62886232764
2006,ITA,0.4596023,0.5843682,0.4519087,0.8226225,5.10E+11
2006,JPN,0.9373574,0.873023,0.7433565,0.9115465,7.21E+11
2006,KOR,0.7532134,0.8862555,0.4492571,0.8878602,3.75E+11
2006,KWT,0.5403634,0.4896002,0.4595219,0.6244155,66566445959
2006,LUX,0.7234536,0.6368111,0.8661112,0.9414387,71977613140
2006,MEX,0.442158,0.536019,0.3715938,0.8182433,2.67E+11
2006,MYS,0.8252136,0.8183313,0.6078275,0.7466939,1.83E+11
2006,NGA,0.2542005,0.3980136,0.1700666,0.4863868,70382678168
2006,NLD,0.9428103,0.8286179,0.8905564,0.9441089,5.00E+11
2006,NOR,0.7275717,0.8843966,0.9197086,0.9597428,1.55E+11
2006,PHL,0.2868896,0.5267355,0.2053179,0.6889805,52651036393
2006,POL,0.4143634,0.4257642,0.3839875,0.8050771,1.30E+11
2006,PRT,0.7119493,0.6161153,0.6840088,0.7737849,63373039604
2006,RUS,0.3975144,0.4212078,0.2223027,0.4384773,3.34E+11
2006,SGP,1,0.9081782,0.9885551,0.9809613,3.39E+11
2006,SVK,0.4621367,0.577342,0.4295434,0.684974,57491282340
2006,SWE,0.8225729,0.9558242,0.8966143,0.9819599,2.01E+11
2006,THA,0.6566755,0.722672,0.3983769,0.7048167,1.52E+11
2006,TUR,0.4235712,0.5798765,0.386191,0.7365553,1.25E+11
2006,UKR,0.3185604,0.3060451,0.2906425,0.5688322,48355049505
2006,VEN,0.2588765,0.425631,0.1230276,0.3985942,67003462040
2006,ZAF,0.6471165,0.57914,0.5159279,0.5577326,79301794432
2007,ARE,0.7654419,0.7995866,0.7256922,0.8142669,1.87E+11
2007,ARG,0.2955751,0.40786,0.1419441,0.6782219,65162321195
2007,AUS,0.754772,0.8149057,0.8563579,0.8092199,1.73E+11
2007,AUT,0.8035435,0.8840165,0.8261541,0.9013473,2.05E+11
2007,BEL,0.8958465,0.7202262,0.6698325,0.8942817,3.69E+11
2007,BRA,0.2694153,0.6512454,0.2636688,0.6958956,1.86E+11
2007,CAN,0.8394701,0.8551493,0.7489387,0.9387134,5.03E+11
2007,CHE,0.938462,0.9117475,0.9070021,0.8942817,3.02E+11
2007,CHL,0.6500993,0.7607259,0.65927,0.7118054,77878717875
2007,CHN,0.4969683,0.5506973,0.3616364,0.6996928,1.26E+12
2007,CZE,0.5354497,0.6247727,0.3483246,0.7800121,1.26E+11
2007,DNK,0.9431403,0.9702011,1,0.9629791,1.64E+11
2007,DZA,0.3432278,0.2748709,0.3554459,0.6271981,63531235749
2007,ESP,0.769779,0.6207291,0.5357725,0.7712539,3.83E+11
2007,FIN,0.8870342,0.9406031,0.9959,0.8974599,1.12E+11
2007,FRA,0.959101,0.7972643,0.6979107,1,7.41E+11
2007,GBR,0.8013366,0.8555936,0.7610767,0.8842928,7.86E+11
2007,GRC,0.5851916,0.4366009,0.4242939,0.7498807,71817777404
2007,HKG,0.9774517,0.8547696,0.8525776,0.9369305,3.94E+11
2007,HUN,0.4237249,0.5663906,0.3598358,0.7609198,1.09E+11
2007,IDN,0.3069607,0.4586895,0.2991763,0.7396369,1.27E+11
2007,IND,0.4980105,0.7215737,0.3240254,0.6367326,2.53E+11
2007,IRL,0.5173352,0.7814538,0.6804843,0.9107959,2.18E+11
2007,ISR,0.6876899,0.9144162,0.6238865,0.8666192,72464456948
2007,ITA,0.4445344,0.6251326,0.3949033,0.7942891,6.06E+11
2007,JPN,0.8524569,0.8506023,0.7063881,0.8801504,7.92E+11
2007,KOR,0.8113673,0.9303475,0.65977,0.8752986,4.38E+11
2007,KWT,0.5511982,0.5624041,0.4168581,0.602909,72695233271
2007,LUX,0.7307645,0.6743895,0.8592572,0.909013,87480215781
2007,MEX,0.4246794,0.5082372,0.3121127,0.7900608,2.90E+11
2007,MYS,0.827907,0.8265319,0.5984598,0.7209758,2.05E+11
2007,NGA,0.2374717,0.4105743,0.156249,0.4862345,59092401902
2007,NLD,0.9125304,0.826581,0.9034212,0.9115912,5.84E+11
2007,NOR,0.7249644,0.9085882,0.9095156,0.9266866,1.73E+11
2007,PHL,0.3043544,0.5264939,0.168774,0.6754939,59294682975
2007,POL,0.3412486,0.445191,0.3552629,0.777348,1.65E+11
2007,PRT,0.7199647,0.7325394,0.6340213,0.7471337,75020812081
2007,RUS,0.4243581,0.3943657,0.2179278,0.423375,3.92E+11
2007,SGP,1,0.939864,0.9890575,0.9471743,3.85E+11
2007,SVK,0.4345409,0.5816222,0.3807743,0.6613816,72177797874
2007,SWE,0.8555309,1,0.9452583,0.9481386,2.34E+11
2007,THA,0.6707475,0.7098048,0.3709028,0.9025664,1.81E+11
2007,TUR,0.4783177,0.6303337,0.4147991,0.7111863,1.49E+11
2007,UKR,0.3351449,0.3958369,0.2402671,0.5587745,61412079208
2007,VEN,0.2618166,0.4587952,0.0592511,0.3502466,71713558454
2007,ZAF,0.6441496,0.5983791,0.4984124,0.5385228,93124912620
